UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
11CM080,CFM56-7B27AE,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,29.00,121.4,-,2.62,13.4,273,47.4,5231,14.72,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  Rev. 1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM077,CFM56-7B27E,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,29.00,121.4,-,2.62,13.4,273,47.4,5231,14.72,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  Rev. 1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM078,CFM56-7B27E/B1,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,29.00,121.4,-,2.62,13.4,273,47.4,5231,14.72,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  Rev. 1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM082,CFM56-7B27E/B1F ,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,29.00,121.4,-,2.62,13.4,273,47.4,5231,14.72,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  Rev. 1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM079,CFM56-7B27E/B3,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,29.00,121.4,-,2.62,13.4,273,47.4,5231,14.72,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  Rev. 1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
11CM081,CFM56-7B27E/F,Tech Insertion,CFM International,GE Aviation,"PTO, Ohio, USA",29-Sep-05,23-Mar-06,TF,5.1,29.00,121.4,-,2.62,13.4,273,47.4,5231,14.72,JET A,1.92 to 1.93,97.6 to 98.5,"1. Ref. GE REPORT CR-2097/3  Rev. 1  2. Engine S/N 874-026/01, 778-024/01B, and 892-769/01  3. Ref. GE REPORT CR-900E Rev. 2, July 19, 2010  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
9EA001,GP7270,-,Engine Alliance,General Electric Peebles Test Operation,Site 4D,28-05-05,29-05-05,TF,8.71,36.62,332.39,-,6.94,35.4,1498,46.15,17713,5.22,Jet A1,13.86 - 13.92,97.396 - 97.812,"1. GE Aviation Reports R2005AE431 and R2006AE504Engine serial number 550-007/1  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
11GE140,CF34-10A16,2253M21,GE Transportation,Peebles Test Operation,Site 4D,5-Sep-06,10-Sep-06,TF,5.7,25.1,76.9,-,18.4,93.9,919,111.9,2696,14.2,Jet A1,1.92,97.2-97.9,"1. GE Report R2007AE480Engine 994-251/1  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
11GE141,CF34-10A18,2253M21,GE Transportation,Peebles Test Operation,Site 4D,5-Sep-06,10-Sep-06,TF,5.4,26.5,82.1,-,14.6,74.5,776,98.5,3070,19,Jet A1,1.92,97.2-97.9,"1. GE Report R2007AE480Engine 994-251/1  2. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  3. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE114,CF34-10E2A1,SAC,GE Transportation,Peebles Test Operation,Site 4D,24-Jul-04,25-Jul-04,TF,5.09,25.1,75.44,-,14.72,75.1,721,112.4,2742,5.06,Jet A1,1.92 - 1.93,98.4-98.6,1. GE Reports R2004AE636 and R2006AE173  2. Block 1 Engines  3. Engine 994-110/1
10GE129,CF34-10E5,2253M21,GE Transportation,Peebles Test Operation,Site 4D,5-Sep-06,10-Sep-06,TF,5.09,25.6,77.4,-,16.89,86.17,848,107.3,2836,14.6,Jet A1,1.92,97.2-97.9,"1. GE Report R2006AE716  2. Block 2 Engines  3. Engine 994-251/1  4. Engines with 2253M21 combustor produced beginning August 2007  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
11GE142,CF34-10E5,2253M21-PFN,GE Transportation,Peebles Test Operation,Site 3C,5-Jun-09,6-Jun-09,TF,5.09,25.5,77.4,-,13.34,68.1,670,102.2,2757,12.1,Jet A1,1.92,97.2-97.9,"1. GE Report R2008AE622Block 2 Engines  2. Engine 994-743/1  3. Engines with 2251M21 combustor or equivalent  4. Alternate fuel injector manufacturer  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE115,CF34-10E5,SAC,GE Transportation,Peebles Test Operation,Site 4D,24-Jul-04,25-Jul-04,TF,5.09,25.6,77.4,-,13.77,70.2,692,107.9,2871,5.82,Jet A1,1.92 - 1.93,98.4-98.6,1. GE Reports R2004AE636 and R2006AE173  2. Block 1 Engines  3. Engine 994-110/1
10GE130,CF34-10E5A1,2253M21,GE Transportation,Peebles Test Operation,Site 4D,5-Sep-06,10-Sep-06,TF,5.09,27.3,83.7,-,12.7,64.80,690,92,3328,20.6,Jet A1,1.92,97.2-97.9,"1. GE Report R2006AE716  2. Block 2 Engines  3. Engine 994-251/1  4. Engines with 2253M21 combustor produced beginning August 2007  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
11GE144,CF34-10E5A1,2253M21-PFN,GE Transportation,Peebles Test Operation,Site 3C,5-Jun-09,6-Jun-09,TF,5.09,27.2,83.7,-,10.46,53.4,568,88.9,3214,16.4,Jet A1,1.92,97.2-97.9,"1. GE Report R2008AE622Block 2 Engines  2. Engine 994-743/1  3. Engines with 2251M21 combustor or equivalent  4. Alternate fuel injector manufacturer  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE117,CF34-10E5A1,SAC,GE Transportation,Peebles Test Operation,Site 4D,24-Jul-04,25-Jul-04,TF,5.09,27.3,83.7,-,11.05,56.4,601,94.3,3341,9.03,Jet A1,1.92 - 1.93,98.4-98.6,1. GE Reports R2004AE636 and R2006AE173  2. Block 1 Engines  3. Engine 994-110/1
10GE131,CF34-10E6,2253M21,GE Transportation,Peebles Test Operation,Site 4D,5-Sep-06,10-Sep-06,TF,5.09,25.6,77.4,-,16.89,86.17,848,107.3,2836,14.6,Jet A1,1.92,97.2-97.9,"1. GE Report R2006AE716  2. Block 2 Engines  3. Engine 994-251/1  4. Engines with 2253M21 combustor produced beginning August 2007  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
11GE143,CF34-10E6,2253M21-PFN,GE Transportation,Peebles Test Operation,Site 3C,5-Jun-09,6-Jun-09,TF,5.09,25.5,77.4,-,13.34,68.1,670,102.2,2757,12.1,Jet A1,1.92,97.2-97.9,"1. GE Report R2008AE622Block 2 Engines  2. Engine 994-743/1  3. Engines with 2251M21 combustor or equivalent  4. Alternate fuel injector manufacturer  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE116,CF34-10E6,SAC,GE Transportation,Peebles Test Operation,Site 4D,24-Jul-04,25-Jul-04,TF,5.09,25.6,77.4,-,13.77,70.2,692,107.9,2871,5.82,Jet A1,1.92 - 1.93,98.4-98.6,1. GE Reports R2004AE636 and R2006AE173  2. Block 1 Engines  3. Engine 994-110/1
10GE132,CF34-10E6A1,2253M21,GE Transportation,Peebles Test Operation,Site 4D,5-Sep-06,10-Sep-06,TF,5.09,27.3,83.7,-,12.7,64.80,690,92,3328,20.6,Jet A1,1.92,97.2-97.9,"1. GE Report R2006AE716  2. Block 2 Engines  3. Engine 994-251/1  4. Engines with 2253M21 combustor produced beginning August 2007  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
11GE145,CF34-10E6A1,2253M21-PFN,GE Transportation,Peebles Test Operation,Site 3C,5-Jun-09,6-Jun-09,TF,5.09,27.2,83.7,-,10.46,53.4,568,88.9,3214,16.4,Jet A1,1.92,97.2-97.9,"1. GE Report R2008AE622Block 2 Engines  2. Engine 994-743/1  3. Engines with 2251M21 combustor or equivalent  4. Alternate fuel injector manufacturer  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE118,CF34-10E6A1,SAC,GE Transportation,Peebles Test Operation,Site 4D,24-Jul-04,25-Jul-04,TF,5.09,27.3,83.7,-,11.05,56.4,601,94.3,3341,9.03,Jet A1,1.92 - 1.93,98.4-98.6,1. GE Reports R2004AE636 and R2006AE173  2. Block 1 Engines  3. Engine 994-110/1
10GE133,CF34-10E7,2253M21,GE Transportation,Peebles Test Operation,Site 4D,5-Sep-06,10-Sep-06,TF,5.09,27.3,83.7,-,12.7,64.80,690,92,3328,20.6,Jet A1,1.92,97.2-97.9,"1. GE Report R2006AE716  2. Block 2 Engines  3. Engine 994-251/1  4. Engines with 2253M21 combustor produced beginning August 2007  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
11GE146,CF34-10E7,2253M21-PFN,GE Transportation,Peebles Test Operation,Site 3C,5-Jun-09,6-Jun-09,TF,5.09,27.2,83.7,-,10.46,53.4,568,88.9,3214,16.4,Jet A1,1.92,97.2-97.9,"1. GE Report R2008AE622Block 2 Engines  2. Engine 994-743/1  3. Engines with 2251M21 combustor or equivalent  4. Alternate fuel injector manufacturer  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE119,CF34-10E7,SAC,GE Transportation,Peebles Test Operation,Site 4D,24-Jul-04,25-Jul-04,TF,5.09,27.3,83.7,-,11.05,56.4,601,94.3,3341,9.03,Jet A1,1.92 - 1.93,98.4-98.6,1. GE Reports R2004AE636 and R2006AE173  2. Block 1 Engines  3. Engine 994-110/1
11GE147,CF34-10E7-B,2253M21-PFN,GE Transportation,Peebles Test Operation,Site 3C,5-Jun-09,6-Jun-09,TF,5.09,27.2,83.7,-,10.46,53.4,568,88.9,3214,16.4,Jet A1,1.92,97.2-97.9,"1. GE Report R2008AE622Block 2 Engines  2. Engine 994-743/1  3. Engines with 2251M21 combustor or equivalent  4. Alternate fuel injector manufacturer  5. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  6. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
1GE034,CF34-3A,LEC II,GE Aircraft Engines,"GE Aircraft Engines, Lynn, MA",Lynn Cell 121,21-Mar-91,23-Mar-91,TF,6.25,19.7,41.01,-,11.8 ,60.0 ,313 ,100.4 ,1137 ,28.2,JP-5,1.92,101.6-102.9,1. Ref GE Report R91AEB051 (1/92 rev).  2. Engine S/N 807-005.  3. LEC II combustor.
1GE035,CF34-3A1,LEC II,GE Aircraft Engines,"GE Aircraft Engines, Lynn, MA",Lynn Cell 121,21-Mar-91,23-Mar-91,TF,6.25,19.7,41.01,-,11.8 ,60.0 ,313 ,100.4 ,1137 ,28.2,JP-5,1.92,101.6-102.9,"1. Ref GE Report R91AEB051 (1/92 rev).  2. Engine S/N 807-005.  3. LEC II combustor.  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
5GE084,CF34-3B,,GE,"GE Aircraft Engines, Lynn, MA",Lynn Cell 121,21-Mar-91,25-Mar-91,TF,6.25,19.3,41.01,-,13.7 ,69.9 ,366 ,110.1 ,1078 ,23.6,Jet A,1.92,101.6-102.9,"1.  Ref. GE Report R95AEB012  2. Engine S/N 807-005  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
5GE083,CF34-8C1,,GE,Peebles Test Opeation,"Peebles, Ohio",,,TF,5.13,23.03,56.36,-,0.3 ,1.5 ,13 ,63.0 ,2120 ,6.9,Jet A,1.93,96.87 - 97.62,"1.  Ref.  GE Report R99AEB031.  2. Engine S/S 965202.   3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
6GE096,CF34-8C1 Block 1,LEC,GE Aircraft Engines,Peebles Test Operation,"Peebles, Ohio",27-Jan-02,28-Jan-02,TF,5.13,22.15,56.36,-,0.5,2.6,20,52.5,1956,6.7,Jet A,1.937,97.1 - 98.1,"1. GE Report R2001AE078  2. Engine S/N 193111   3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) "
6GE092,CF34-8C5,LEC,GE Aircraft Engines,Peebles Test Operation,"Peebles, Ohio",27-Jan-02,28-Jan-02,TF,5.13,23.09,59.42,8GE110,0.5 ,2.6 ,18 ,42.8 ,2205 ,10.7,Jet A,1.937,97.1 - 98.1,1. GE Report R2001AE078  2. Engine S/N 193111  3. LEC combustor  4. Minor change to climb SN (2.52 to 2.12) in Issue 15
8GE110,CF34-8C5,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,23.09,59.42,-,0.48,2.4,18,42.8,2205,10.71,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE107,CF34-8C5A1,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,23.49,60.62,-,0.46,2.3,18,41.5,2287,12.81,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE104,CF34-8C5A2,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,24.12,62.49,-,0.44,2.3,18,39.8,2419,17.55,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE103,CF34-8C5A3,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,24.82,64.53,-,0.42,2.2,18,38.0,2565,22.23,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE112,CF34-8C5B1,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,22.08,56.35,-,0.55,2.8,20,46.7,2010,6.67,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
6GE093,CF34-8E2,LEC,GE Aircraft Engines,Peebles Test Organisation,"Peebles, Ohio",27-Jan-02,28-Jan-02,TF,5.13,21.71,55.19,8GE113,0.6 ,3.1 ,21 ,48.2 ,1939 ,5.9,Jet A,1.937,97.1 - 98.1,1. GE Report R2001AE078  2. Engine S/N 193111  3. LEC combustor  4. Minor change to climb SN (0.92 to 0.87) in Issue 15
8GE113,CF34-8E2,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,21.71,55.19,-,0.58,3.0,21,48.2,1940,5.89,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3"
8GE111,CF34-8E2A1,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,23.00,59.15,-,0.48,2.5,19,43.1,2188,10.31,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3"
6GE094,CF34-8E5,LEC,GE Aircraft Engines,Peebles Test Organisation,"Peebles, Ohio",27-Jan-02,28-Jan-02,TF,5.13,23.18,59.68,8GE108,0.5 ,2.6 ,18 ,42.5 ,2222 ,11.1,Jet A,1.937,97.1 - 98.1,1. GE Report R2001AE078  2. Engine S/N 193111  3. LEC combustor  4. Minor change to climb SN (2.64 to 2.24) in Issue 15
8GE108,CF34-8E5,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,23.18,59.68,-,0.47,2.4,18,42.5,2223,11.11,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
6GE095,CF34-8E5A1,LEC,GE Aircraft Engines,Peebles Test Organisation,"Peebles, Ohio",27-Jan-02,28-Jan-02,TF,5.13,24.12,62.49,8GE105,0.4,2.0 ,18 ,39.8,2419 ,17.6,Jet A,1.937,97.1 - 98.1,1. GE Report R2001AE078  2. Engine S/N 193111  3. LEC combustor  4. Minor change to climb SN (3.9 to 3.49) in Issue 15
8GE105,CF34-8E5A1,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,24.12,62.49,-,0.44,2.3,18,39.8,2419,17.55,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3  4. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  5. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e)"
8GE102,CF34-8E5A2,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,24.82,64.53,-,0.42,2.2,18,38.0,2565,22.23,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3"
8GE109,CF34-8E6,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,23.18,59.68,-,0.47,2.4,18,42.5,2223,11.11,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3"
8GE106,CF34-8E6A1,LEC,GE,CF6 Eval Engineering,PTO Site 3B Peebles,27-Jan-02,28-Jan-02,TF,5.13,24.12,62.49,-,0.44,2.3,18,39.8,2419,17.55,Jet A,1.937,97.1 to 98.1,"1. Ref. GE REPORT R2001AE078  2. Engine S/N 193111  3. Data corrected per ICAO Annex 16, Vol 2, Part III, Appendix 3"
3GE067,CF6-45A,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,25.38,202.8,-,6.0 ,30.6 ,780 ,42.3 ,9105 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.   Idle emissions calculated at normal idle setting rather than 7%.
1GE005,CF6-45A2,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,12-Oct-79,5-Dec-79,TF,4.3,25.9,202.8,-,44.2 ,225.3 ,8485 ,107.7 ,10819 ,4.9,Jet A,1.92,98.3-100.4,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
3GE068,CF6-45A2,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,25.38,202.8,-,6.0 ,30.6 ,780 ,42.3 ,9105 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
3GE069,CF6-50A,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,26.88,215.3,-,5.6 ,28.6 ,785 ,39.5 ,10286 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
1GE006,CF6-50C,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,12-Oct-79,5-Dec-79,TF,4.3,28.8,224.2,-,39.2 ,199.8 ,7998 ,100.5 ,13436 ,4.8,Jet A,1.92,98.3-100.4,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
3GE070,CF6-50C,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,27.76,224.2,-,5.3 ,27.0 ,784 ,37.7 ,11116 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
3GE073,CF6-50C1,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,28.44,230.4,-,5.3 ,27.0 ,788 ,36.6 ,11884 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
1GE007,"CF6-50C1, -C2",,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,12-Oct-79,5-Dec-79,TF,4.3,29.8,230.4,-,37.3 ,190.1 ,7715 ,99.0 ,14247 ,4.8,Jet A,1.92,98.3-100.4,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
3GE074,CF6-50C2,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,28.44,230.4,-,5.3 ,27.0 ,788 ,36.6 ,11884 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
3GE078,CF6-50C2B,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,29.06,236.7,-,5.1 ,26.0 ,786 ,35.4 ,12482 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
1GE008,CF6-50C2R,,GE Aircraft Engines,Production Engine Test,Production Test Cells M34 & M35,12-Oct-79,5-Dec-79,TF,4.3,28.8,224.2,-,39.2 ,199.8 ,7998 ,100.5 ,13436 ,4.8,Jet A,1.92,98.3-100.4,1. Ref Report no FAA-EE-80-27 (GE Report R80AEG420)
3GE072,CF6-50C2R,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,27.76,224.2,-,5.3 ,27.0 ,784 ,37.7 ,11116 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
3GE071,CF6-50CA,Low emissions fuel nozzle,GE,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",28-Jul-87,29-Jul-87,TF,4.3,27.76,224.2,-,5.3 ,27.0 ,784 ,37.7 ,11116 ,16.1,Jet A,1.935,97.73-97.91,1.  Engine equipped with low emissions fuel nozzle config.  2.  GE Report R87AEB559.  3.  Engine 530375/001.  4.  Idle emissions calculated at normal idle setting rather than 7%.
