UID,Engine Identification,Combustor Description,Manufacturer,Test Organisation,Test Location,Test date to,Test date from,Eng Type,B/P Ratio,Press Ratio,Rated Output(kN),Superseded by UID,Dp/Foo HC Characteristic,Characteristic % of Reg limit,LTO Total mass (g),Dp/Foo CO Characteristic,Nox Total mass (g),Smoke Number Characteristic,Fuel Spec,Fuel H/C Ratio,Ambient Baro kPa,Remarks
6AL004,AE3007C1,,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,5.1,16.6,31.5,6AL023,14.25,55.9,346,66.78,1175,1.17,Jet A / JP8,1.899,101.3,Results based on Rolls Royce report EDR 15171B
6AL023,AE3007C1,Type 1,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",3-Mar-94,19-Apr-95,MTF,5.1,16.58,31.46,-,14.25,72.7,344,66.78,1175,1.17,Jet A,1.9,,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Results based of Rolls-Royce report EDR 15171B
6AL024,AE3007C1,Type 2,Rolls-Royce Corporation,Rolls-Royce Corporation,"Indianapolis, Indiana, USA",28-Aug-02,29-Aug-02,MTF,5.1,16.58,31.46,-,19.04,97.1,389,93.29,1262,0.01,Jet A,1.9,99.6 - 99.7,1. For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076  2. Data in this form for AE3007C1 engine fitted with PAB fuel nozzles  3. Results based on Rolls-Royce report EDR 19972
1AA001,D-30 (Il series),,AO 'Aviadgatel',State Inst for Civ Aviation,"Sheremetjevo,  Moscow",3-Aug-90,,MTF,0.85,18.4,66.64,-,207.8 ,1060.0 ,8992 ,257.6 ,4338 ,45.1,TS-1,2,103,"1. Data obtained on aircraft (Tu-134B)  2. In-service engine(s), tested after overhaul"
1AA002,D-30KP-2,,AO 'Aviadgatel',State Inst for Civ Aviation,"Sheremetjevo,  Moscow",28-Jun-90,,MTF,2.2,19.45,117.6,-,47.2 ,241.0 ,4874 ,208.6 ,5510 ,25.1,TS-1,2,102.7-103.1,"1. Data obtained on aircraft (Il-76TD)  2. In-service engine(s), tested before overhaul"
1AA003,D-30KU,,AO 'Aviadgatel',State Inst for Civ Aviation,"Sheremetjevo,  Moscow",19-Jul-89,,MTF,2.35,17.4,112.7,-,37.4 ,191.0 ,3753 ,191.7 ,4720 ,29.5,TS-1,2,102.6-102.7,"1. Data obtained on aircraft (Il-62M)  2. In-service engine(s), tested after overhaul"
1AA004,D-30KU-154,,AO 'Aviadgatel',State Inst for Civ Aviation,"Sheremetjevo,  Moscow",4-Jul-89,,MTF,2.3,17,107.5,-,53.1 ,270.9 ,4389 ,292.8 ,4000 ,-,TS-1,2,102.3-102.6,"1. Data obtained on aircraft (Tu-154M)  2. In-service engine(s), tested before overhaul"
1AA005,PS-90A,,AO 'Aviadgatel',AO 'Aviadgatel',Perm City,17-Apr-89,18-Apr-89,MTF,5,30.85,156.9,-,1.4 ,7.1 ,138 ,16.7 ,11648 ,16.7,TS-1,2,102.9-104,For aircraft Il-96 and Tu-204
3BR001,BR700-710A1-10,,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",5-Jun-96,6-Jun-96,MTF,4.2,24.31,65.61,-,6.6 ,33.7 ,279 ,73.5 ,2576 ,14.2,AVTUR,1.94,101.5-102.1,Data from certification report E-TR403/96-(FR) ISS02
4BR008,BR700-710A1-10,,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",19-Oct-96,20-Oct-96,MTF,4.20,24.23,65.61,-,3.7 ,18.6 ,156 ,78.9 ,2790 ,18.0,AVTUR,1.89-1.92,100.9-101.2,1. Data from Certification report E-TR825/96-(FR) ISS01.  2. For Gulfstream V application
4BR009,BR700-710A2-20,,BMW Rolls-Royce GmbH,BMW Rolls-Royce GmbH,"BMW Rolls-Royce GmbH, Dahlewitz, Germany",19-Oct-96,20-Oct-96,MTF,4.19,24.16,65.61,-,3.8 ,19.2 ,160 ,79.6 ,2784 ,18.0,AVTUR,1.89-1.92,100.9-101.2,"1. Data from Certification report E-TR853/96-(FR) ISS01.  2. For Canadair Global Express application  3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
6BR010,BR700-710C4-11,Annular,Rolls-Royce,Rolls-Royce,Dahlewitz,19-Oct-96,20-Oct-96,MTF,4.05,24.95,68.77,-,6.7,34.2,301,79.0,2850,18.46,AVTUR,1.89,100.9 - 101.2,"1. Certification report E-TR554/01 - (FR) - 01  2. For Gulfstream G550 appliaction   3. Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.  4. NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)"
