"2784 ";"BMW Rolls-Royce GmbH";"BMW Rolls-Royce GmbH, Dahlewitz, Germany";"MTF";"24.16";"65.61";"19.2 "
"481 ";"Pratt & Whitney (Canada)";"Longueuil, Quebec";"TF";"12.3";"12.90 ";"N/A"
"3340 ";"BMW Rolls-Royce GmbH";"BMW Rolls-Royce GmbH, Dahlewitz, Germany";"MTF";"28.75";"83.23";"2.5 "
"409 ";"Pratt & Whitney (Canada)";"Longueuil, Quebec";"TF";"10.1";"11.12";"N/A"
"2740 ";"Pratt & Whitney";"East Hartford, CT, USA.";"TF";"13.6";"80.06";"2017.6 "
"2909 ";"Pratt & Whitney";"East Hartford, CT, USA.";"TF";"13.4";"84.52";"1123.7 "
"2565 ";"Rolls-Royce";"Dahlewitz";"MTF";"26.16";"75.7";"41.3 "
"2909 ";"Pratt & Whitney";"East Hartford, CT, USA.";"TF";"13.4";"84.52";"2309.4 "
"3989 ";"Pratt & Whitney";"E Hartford, CT, USA";"MTF";"16.81";"68.94";"221.2 "
"3648 ";"Pratt & Whitney";"E Hartford, CT, USA";"MTF";"16.45";"68.94";"47.8 "
"3906 ";"CFMI";"Peebles Site IVD";"TF";"23.5";"97.86";"30.4 "
"3906 ";"CFMI";"Peebles Site IVD";"TF";"23.5";"97.86";"30.4 "
"7783 ";"CFMI";"Peebles Site IIIB";"TF";"30.2";"133.45";"36.1 "
"4367 ";"CFMI";"Peebles Site IIIC";"TF";"25.1";"104.53";"22.0 "
"5102";"IAE International Aero Engines";"East Hartford, CT";"MTF";"27.1";"110.3";"2.30"
"5024 ";"CFM International";"Peebles Ohio, USE  Liers, Belgium";"TF";"30.5";"133.5";"44.9 "
"5756 ";"CFMI";"PTO Site IIIC";"TF";"31.2";"137.9";"53.6 "
"4776 ";"KKxBM";"Sheremetjevo,  Moscow";"MTF";"10.8";"103";"2577.2 "
"6875";"CFM International";"PTO, Ohio, USA";"TF";"32.6";"142.3";"8.5"
"6106 ";"KKBM";"Samara City";"MTF";"13.2";"130.47";"355.2 "
"7723 ";"GE";"Techspace-Aero Facility, Liege, Belgium";"TF";"31.57";"137.90";"40.3 "
"12291 ";"Pratt & Whitney";"British Airways Engine Overhaul Ltd, Wales";"TF";"20.3";"205.3";"326.6 "
"12291 ";"Pratt & Whitney";"British Airways Engine Overhaul Ltd, Wales";"TF";"20.3";"205.3";"326.6 "
"3732 ";"GE";"Techspace-Aero Facility, Liege, Belgium";"TF";"23.33";"97.89";"78.1 "
"5861 ";"CFMI";"Peebles Site rIIIB";"TF";"27.1";"117.9";"44.8 "
"12381 ";"Pratt & Whitney";"E Hartford, CT, USA";"TF";"24.5 ";"235.8";"132.8 "
"3783 ";"CFMI";"PTO Site IIIC";"TF";"27.1";"117.9";"74.5 "
"12291 ";"Pratt & Whitney";"British Airways Engine Overhaul Ltd, Wales";"TF";"20.3";"205.3";"326.6 "
"5641 ";"GE";"Techspace-Aero, Liege, Belgium";"TF";"27.69";"120.11";"53.2 "
"13117 ";"Pratt & Whitney";"E Hartford, CT, USA";"TF";"24.2";"222.41";"32.7 "
"3358 ";"CFM International";"Techspace Aero, Liege, Belgium";"TF";"22.6";"94.7";"84.7 "
"12381 ";"Pratt & Whitney";"E Hartford, CT, USA";"TF";"24.5 ";"235.75";"132.8 "
"6858 ";"CFM International";"PTO Site IV-D";"MTF";"29.2";"143.33";"52.0 "
"4582 ";"Pratt & Whitney";"East Hartford, CT";"MTF";"19.66";"92.74";"0.0 "
"4216 ";"Pratt & Whitney";"East Hartford, CT";"MTF";"19.05";"92.74";"0.0 "
"6240";"CFM International";"PTO Site IV-D";"MTF";"28.2";"137.61";"56.6"
"2729";"CFM International";"qPTO, Ohio, USA";"TF";"21.40";"86.7";"45.0"
"3281 ";"Pratt & Whitney";"E Hartford, CT, USA";"MTF";"15.82";"62.27";"87.6 "
"4604 ";"Pratt & Whitney";"East Hartford, CT";"MTF";"20.27";"96.52";"0.0 "
"21528 ";"Pratt & Whitney";"East Hartford, Conn, USA";"TF";"32.83";"343.0";"41.3 "
"3996";"CFM International";"PTO, Ohio, USA";"TF";"25.60";"107.6";"20.9"
"3995";"CFM International";"PTO, Ohio, USA";"TF";"25.60";"107.6";"20.9"
"23229 ";"Pratt and Whitney";"East Hartford, Ct, USA";"TF";"36.2";"369.6";"23.0 "
"21799.9";"Pratt & Whitney";"Middletown, CT";"TF";"33.3";"355.7";"25.80"
"11987 ";"Pratt & Whitney";"-";"TF";"29.3";"249.1";"20.4 "
"4762";"CFM International";"PTO, Ohio, USA";"TF";"27.70";"117";"15.4"
"4762";"CFM International";"PTO, Ohio, USA";"TF";"27.70";"117";"15.4"
"4233 ";"GE";"Peebles Test Operation (PTO) Peebles, OH";"TF";"27.80";"116.99";"72.7 "
"6149 ";"GE";"Peebles Test Operation, Peebles, Ohio, USA";"TF";"27.61";"116.99";"24.0 "
"31629 ";"Pratt & Whitney";"East Hartford, Conn, USA";"TF";"39.16";"395.0";"19.9 "
"5231";"CFM International";"PTO, Ohio, USA";"TF";"29.00";"121.4";"13.4"
"11987 ";"Pratt & Whitney";"-";"TF";"29.3";"249.1";"20.4 "
"2837 ";"GE Transportation";"Site 4D";"TF";"25.6";"77.4";"86.17"
