199.8 ;100.5 ;5-Dec-79;12-Oct-79;Production Engine Test;Production Test Cells M34 & M35;CF6-50C2R
27.0 ;37.7 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50C2R
27.0 ;37.7 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50CA
27.0 ;36.6 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50E
27.0 ;36.6 ;29-Jul-87;28-Jul-87;GE Development/Production Tst Operation;Site IVD, Peebles, Ohio;CF6-50E1
190.1 ;99.0 ;5-Dec-79;12-Oct-79;Production Engine Test;Production Test Cells M34 & M35;CF6-50E2
27.0 ;36.6 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50E2
26.0 ;35.4 ;29-Jul-87;28-Jul-87;GE Development/Production Test Operation;Site IVD, Peebles, Ohio;CF6-50E2B
187.4 ;93.3 ;19-Nov-79;16-Aug-79;Production Engine Test;Production Test Cells M34 & M35;CF6-6D
173.9 ;87.1 ;19-Nov-79;16-Aug-79;Production Engine Test;Production Test Cells M34 & M35;CF6-6D1A
187.4 ;93.3 ;19-Nov-79;16-Aug-79;Production Engine Test;Production Test Cells M34 & M35;CF6-6K
173.9 ;87.1 ;19-Nov-79;16-Aug-79;Production Engine Test;Production Test Cells M34 & M35;CF6-6K2
6.7 ;43.6 ;12-Nov-83;11-Nov-83;Production Engine Test;Production Test Cells M35;CF6-80A
61.7 ;43.6 ;12-Nov-83;11-Nov-83;Production Engine Test;Production Test Cells M35;CF6-80A1
59.7 ;42.0 ;12-Nov-83;11-Nov-83;Production Engine Test;Production Test Cells M35;CF6-80A2
59.2 ;41.7 ;12-Nov-83;11-Nov-83;Production Engine Test;Production Test Cells M35;CF6-80A3
75.2 ;60.4 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A1
13.7 ;28.9 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2A1
92.0 ;70.1 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A2
89.6 ;69 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A2
17.1 ;34.0 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2A2
75.0 ;60.0 ;3-Jun-85;29-Ma-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A3
72.6 ;59.0 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A3
13.2 ;28.0 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2A3
73.8 ;59.6 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A5
73.8 ;59.6 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A5
12.6 ;27.1 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2A5
10.7 ;25.8 ;17-Jan-95;13-Jan-95;CF6 Ecval Engineering;Site IIB, PTO, Peebles, Ohio, USA;CF6-80C2A5F
77.0 ;62.0 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2A8
13.8 ;28.9 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2A8
78.9 ;63.1 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2B1
14.9 ;30.6 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2B1
82.5 ;65.0 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2B1F
81.7 ;63.9 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2B1F
13.3 ;28.2 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF680C2B1F
97.9 ;73.7 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Oio;CF6-80C2B2
17.7 ;34.7 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2B2
99.5 ;73.5 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2B2F
16.5 ;33.0 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2B2F
80.7 ;63.6 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2B4
13.9 ;29.3 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIB, PTO Peebles;CF6-80C2B4
82.8 ;63.7 ;3-Jun-85;29-May-85;CF6 Evaluation Engineering;Site IIIC, PTO, Peebles, Ohio;CF6-80C2B4F
13.3 ;28.2 ;17-Jan-95;13-Jan-95;CF6 Eval Engineering;Site IIIB, PTO Peebles;CF6-80C2B4F
